date,session_key,position,driver_number,meeting_key
2025-09-07T13:37:39.419000+00:00,9912,15,5,1268
2025-09-07T13:37:39.419000+00:00,9912,16,14,1268
2025-09-07T13:37:41.028000+00:00,9912,17,14,1268
2025-09-07T13:37:41.028000+00:00,9912,16,30,1268
2025-09-07T13:37:41.497000+00:00,9912,18,14,1268
2025-09-07T13:37:41.497000+00:00,9912,17,87,1268
2025-09-07T13:37:41.997000+00:00,9912,19,14,1268
2025-09-07T13:37:41.997000+00:00,9912,18,22,1268
2025-09-07T13:37:58.419000+00:00,9912,9,55,1268
2025-09-07T13:37:58.419000+00:00,9912,8,23,1268
2025-09-07T13:37:58.434000+00:00,9912,8,55,1268
2025-09-07T13:37:58.434000+00:00,9912,9,23,1268
2025-09-07T13:38:01.591000+00:00,9912,9,55,1268
2025-09-07T13:38:01.591000+00:00,9912,8,23,1268
2025-09-07T13:38:06.887000+00:00,9912,16,87,1268
2025-09-07T13:38:06.887000+00:00,9912,17,30,1268
2025-09-07T13:40:56.445000+00:00,9912,17,22,1268
2025-09-07T13:40:56.445000+00:00,9912,18,30,1268
2025-09-07T13:41:21.211000+00:00,9912,18,22,1268
2025-09-07T13:41:21.211000+00:00,9912,17,30,1268
2025-09-07T13:41:28.242000+00:00,9912,6,63,1268
2025-09-07T13:41:28.242000+00:00,9912,5,44,1268
2025-09-07T13:41:42.852000+00:00,9912,7,63,1268
2025-09-07T13:41:42.852000+00:00,9912,6,12,1268
2025-09-07T13:41:43.227000+00:00,9912,17,22,1268
2025-09-07T13:41:43.227000+00:00,9912,18,30,1268
2025-09-07T13:41:46.102000+00:00,9912,8,63,1268
2025-09-07T13:41:46.102000+00:00,9912,7,23,1268
2025-09-07T13:41:47.602000+00:00,9912,9,63,1268
2025-09-07T13:41:47.602000+00:00,9912,8,55,1268
2025-09-07T13:41:48.383000+00:00,9912,10,63,1268
2025-09-07T13:41:48.383000+00:00,9912,9,31,1268
2025-09-07T13:41:49.195000+00:00,9912,11,63,1268
2025-09-07T13:41:49.195000+00:00,9912,10,18,1268
2025-09-07T13:41:50.477000+00:00,9912,12,63,1268
2025-09-07T13:41:50.477000+00:00,9912,11,6,1268
2025-09-07T13:43:04.844000+00:00,9912,7,12,1268
2025-09-07T13:43:04.844000+00:00,9912,6,23,1268
2025-09-07T13:43:06.635000+00:00,9912,8,12,1268
2025-09-07T13:43:06.635000+00:00,9912,7,55,1268
2025-09-07T13:43:06.729000+00:00,9912,7,12,1268
2025-09-07T13:43:06.729000+00:00,9912,8,55,1268
2025-09-07T13:43:11.167000+00:00,9912,8,12,1268
2025-09-07T13:43:11.167000+00:00,9912,7,55,1268
2025-09-07T13:43:12.135000+00:00,9912,9,12,1268
2025-09-07T13:43:12.135000+00:00,9912,8,31,1268
2025-09-07T13:43:13.089000+00:00,9912,10,12,1268
2025-09-07T13:43:13.089000+00:00,9912,9,18,1268
2025-09-07T13:43:14.167000+00:00,9912,11,12,1268
2025-09-07T13:43:14.167000+00:00,9912,10,6,1268
2025-09-07T13:43:20.026000+00:00,9912,11,63,1268
2025-09-07T13:43:20.026000+00:00,9912,12,12,1268
2025-09-07T13:43:21.839000+00:00,9912,13,12,1268
2025-09-07T13:43:21.839000+00:00,9912,12,43,1268
2025-09-07T13:43:22.651000+00:00,9912,14,12,1268
2025-09-07T13:43:22.651000+00:00,9912,13,10,1268
2025-09-07T13:45:12.966000+00:00,9912,13,43,1268
2025-09-07T13:45:12.966000+00:00,9912,12,10,1268
2025-09-07T13:45:54.917000+00:00,9912,8,55,1268
2025-09-07T13:45:54.917000+00:00,9912,7,31,1268
2025-09-07T13:45:55.852000+00:00,9912,9,55,1268
2025-09-07T13:45:55.852000+00:00,9912,8,18,1268
2025-09-07T13:45:56.808000+00:00,9912,10,55,1268
2025-09-07T13:45:56.808000+00:00,9912,9,6,1268
2025-09-07T13:46:04.989000+00:00,9912,10,63,1268
2025-09-07T13:46:04.989000+00:00,9912,11,55,1268
2025-09-07T13:46:10.417000+00:00,9912,12,55,1268
2025-09-07T13:46:10.417000+00:00,9912,11,10,1268
2025-09-07T13:46:11.344000+00:00,9912,13,55,1268
2025-09-07T13:46:11.344000+00:00,9912,12,43,1268
2025-09-07T13:46:17.389000+00:00,9912,13,12,1268
2025-09-07T13:46:17.389000+00:00,9912,14,55,1268
2025-09-07T13:46:19.115000+00:00,9912,14,5,1268
2025-09-07T13:46:19.115000+00:00,9912,15,55,1268
2025-09-07T13:46:25.100000+00:00,9912,15,87,1268
2025-09-07T13:46:25.100000+00:00,9912,16,55,1268
2025-09-07T13:48:45.869000+00:00,9912,9,63,1268
2025-09-07T13:48:45.869000+00:00,9912,10,6,1268
2025-09-07T13:48:58.038000+00:00,9912,11,6,1268
2025-09-07T13:48:58.038000+00:00,9912,10,10,1268
2025-09-07T13:48:59.931000+00:00,9912,11,43,1268
2025-09-07T13:48:59.931000+00:00,9912,12,6,1268
2025-09-07T13:49:02.798000+00:00,9912,12,12,1268
2025-09-07T13:49:02.798000+00:00,9912,13,6,1268
2025-09-07T13:49:05.136000+00:00,9912,13,5,1268
2025-09-07T13:49:05.136000+00:00,9912,14,6,1268
2025-09-07T13:49:07.440000+00:00,9912,14,87,1268
2025-09-07T13:49:07.440000+00:00,9912,15,6,1268
2025-09-07T13:49:09.284000+00:00,9912,15,55,1268
2025-09-07T13:49:09.284000+00:00,9912,16,6,1268
2025-09-07T13:49:52.513000+00:00,9912,5,16,1268
2025-09-07T13:49:52.513000+00:00,9912,4,44,1268
2025-09-07T13:50:08.857000+00:00,9912,6,16,1268
2025-09-07T13:50:08.857000+00:00,9912,5,23,1268
2025-09-07T13:50:20.970000+00:00,9912,11,12,1268
2025-09-07T13:50:20.970000+00:00,9912,12,43,1268
2025-09-07T13:50:23.908000+00:00,9912,12,5,1268
2025-09-07T13:50:23.908000+00:00,9912,13,43,1268
2025-09-07T13:50:24.548000+00:00,9912,13,5,1268
2025-09-07T13:50:24.548000+00:00,9912,12,43,1268
2025-09-07T13:50:28.408000+00:00,9912,12,5,1268
2025-09-07T13:50:28.408000+00:00,9912,13,43,1268
2025-09-07T13:50:30.486000+00:00,9912,13,87,1268
2025-09-07T13:50:30.486000+00:00,9912,14,43,1268
2025-09-07T13:50:31.814000+00:00,9912,14,55,1268
2025-09-07T13:50:31.814000+00:00,9912,15,43,1268
2025-09-07T13:50:36.048000+00:00,9912,16,43,1268
2025-09-07T13:50:36.048000+00:00,9912,15,6,1268
2025-09-07T13:50:38.517000+00:00,9912,16,22,1268
2025-09-07T13:50:38.517000+00:00,9912,17,43,1268
2025-09-07T13:50:39.423000+00:00,9912,18,43,1268
2025-09-07T13:50:39.423000+00:00,9912,17,30,1268
2025-09-07T13:51:39.038000+00:00,9912,8,63,1268
2025-09-07T13:51:39.038000+00:00,9912,9,18,1268
2025-09-07T13:53:01.885000+00:00,9912,7,63,1268
2025-09-07T13:53:01.885000+00:00,9912,8,31,1268
2025-09-07T13:54:56.565000+00:00,9912,2,1,1268
2025-09-07T13:54:56.565000+00:00,9912,1,4,1268
2025-09-07T13:54:56.719000+00:00,9912,1,1,1268
2025-09-07T13:54:56.719000+00:00,9912,2,4,1268
2025-09-07T13:55:01.077000+00:00,9912,2,1,1268
2025-09-07T13:55:01.077000+00:00,9912,1,4,1268
2025-09-07T13:55:07.242000+00:00,9912,3,1,1268
2025-09-07T13:55:07.242000+00:00,9912,2,81,1268
2025-09-07T13:56:58.273000+00:00,9912,5,44,1268
2025-09-07T13:56:58.273000+00:00,9912,4,23,1268
2025-09-07T13:57:00.179000+00:00,9912,5,16,1268
2025-09-07T13:57:00.179000+00:00,9912,6,44,1268
2025-09-07T13:57:05.414000+00:00,9912,6,63,1268
2025-09-07T13:57:05.414000+00:00,9912,7,44,1268
2025-09-07T13:57:12.523000+00:00,9912,8,44,1268
2025-09-07T13:57:12.523000+00:00,9912,7,31,1268
2025-09-07T13:57:13.836000+00:00,9912,9,44,1268
2025-09-07T13:57:13.836000+00:00,9912,8,18,1268
2025-09-07T13:57:43.041000+00:00,9912,10,12,1268
2025-09-07T13:57:43.041000+00:00,9912,11,10,1268
2025-09-07T13:59:10.971000+00:00,9912,14,87,1268
2025-09-07T13:59:10.971000+00:00,9912,13,55,1268
2025-09-07T13:59:24.268000+00:00,9912,15,87,1268
2025-09-07T13:59:24.268000+00:00,9912,14,55,1268
2025-09-07T13:59:24.268000+00:00,9912,13,6,1268
2025-09-07T14:00:03.860000+00:00,9912,8,44,1268
2025-09-07T14:00:03.860000+00:00,9912,9,18,1268
2025-09-07T14:00:12.167000+00:00,9912,11,5,1268
2025-09-07T14:00:12.167000+00:00,9912,12,10,1268
2025-09-07T14:01:02.681000+00:00,9912,4,16,1268
2025-09-07T14:01:02.681000+00:00,9912,5,23,1268
2025-09-07T14:01:11.892000+00:00,9912,5,63,1268
2025-09-07T14:01:11.892000+00:00,9912,6,23,1268
2025-09-07T14:01:18.705000+00:00,9912,7,23,1268
2025-09-07T14:01:18.705000+00:00,9912,6,31,1268
2025-09-07T14:01:19.017000+00:00,9912,7,44,1268
2025-09-07T14:01:19.017000+00:00,9912,8,23,1268
2025-09-07T14:01:20.392000+00:00,9912,9,23,1268
2025-09-07T14:01:20.392000+00:00,9912,8,18,1268
2025-09-07T14:01:22.705000+00:00,9912,6,44,1268
2025-09-07T14:01:22.705000+00:00,9912,7,31,1268
2025-09-07T14:01:33.424000+00:00,9912,9,12,1268
2025-09-07T14:01:33.424000+00:00,9912,10,23,1268
2025-09-07T14:04:40.573000+00:00,9912,10,12,1268
2025-09-07T14:04:40.573000+00:00,9912,9,23,1268
2025-09-07T14:06:12.660000+00:00,9912,2,1,1268
2025-09-07T14:06:12.660000+00:00,9912,3,81,1268
2025-09-07T14:07:34.004000+00:00,9912,1,1,1268
2025-09-07T14:07:34.004000+00:00,9912,2,4,1268
2025-09-07T14:07:56.254000+00:00,9912,3,4,1268
2025-09-07T14:07:56.254000+00:00,9912,2,81,1268
2025-09-07T14:10:40.564000+00:00,9912,2,4,1268
2025-09-07T14:10:40.564000+00:00,9912,3,81,1268
2025-09-07T14:12:22.168000+00:00,9912,8,23,1268
2025-09-07T14:12:22.168000+00:00,9912,9,18,1268
2025-09-07T14:12:25.268000+00:00,9912,9,12,1268
2025-09-07T14:12:25.268000+00:00,9912,10,18,1268
2025-09-07T14:12:32.358000+00:00,9912,10,5,1268
2025-09-07T14:12:32.358000+00:00,9912,11,18,1268
2025-09-07T14:12:33.263000+00:00,9912,12,6,1268
2025-09-07T14:12:33.263000+00:00,9912,13,10,1268
2025-09-07T14:12:34.341000+00:00,9912,13,55,1268
2025-09-07T14:12:34.341000+00:00,9912,14,10,1268
2025-09-07T14:12:37.741000+00:00,9912,12,18,1268
2025-09-07T14:12:37.741000+00:00,9912,11,6,1268
2025-09-07T14:12:38.550000+00:00,9912,12,55,1268
2025-09-07T14:12:38.550000+00:00,9912,13,18,1268
