Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec,S1_sec,S2_sec,S3_sec,Race
0 days 01:25:06.821000,TSU,22,0 days 00:01:27.544000,16.0,2.0,,,0 days 00:00:32.317000,0 days 00:00:29.936000,0 days 00:00:25.291000,0 days 01:24:11.594000,0 days 01:24:41.530000,0 days 01:25:06.821000,233.0,287.0,283.0,335.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 01:23:39.277000,2025-11-30 16:28:24.952,1,12.0,False,,False,True,87.544,32.317,29.936,25.291,Qatar Grand Prix
0 days 01:26:34.678000,TSU,22,0 days 00:01:27.857000,17.0,2.0,,,0 days 00:00:32.370000,0 days 00:00:29.898000,0 days 00:00:25.589000,0 days 01:25:39.191000,0 days 01:26:09.089000,0 days 01:26:34.678000,,288.0,282.0,336.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:25:06.821000,2025-11-30 16:29:52.496,1,12.0,True,TRACK LIMITS AT TURN 10 LAP 17 ,False,True,87.857,32.37,29.898,25.589,Qatar Grand Prix
0 days 01:28:02.264000,TSU,22,0 days 00:01:27.586000,18.0,2.0,,,0 days 00:00:32.138000,0 days 00:00:30.027000,0 days 00:00:25.421000,0 days 01:27:06.816000,0 days 01:27:36.843000,0 days 01:28:02.264000,234.0,286.0,281.0,334.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:26:34.678000,2025-11-30 16:31:20.353,1,12.0,False,,False,True,87.586,32.138,30.027,25.421,Qatar Grand Prix
0 days 01:29:29.741000,TSU,22,0 days 00:01:27.477000,19.0,2.0,,,0 days 00:00:32.068000,0 days 00:00:30.017000,0 days 00:00:25.392000,0 days 01:28:34.332000,0 days 01:29:04.349000,0 days 01:29:29.741000,,285.0,281.0,333.0,True,MEDIUM,12.0,True,Red Bull Racing,0 days 01:28:02.264000,2025-11-30 16:32:47.939,1,12.0,False,,False,True,87.477,32.068,30.017,25.392,Qatar Grand Prix
0 days 01:30:57.278000,TSU,22,0 days 00:01:27.537000,20.0,2.0,,,0 days 00:00:32.071000,0 days 00:00:30.177000,0 days 00:00:25.289000,0 days 01:30:01.812000,0 days 01:30:31.989000,0 days 01:30:57.278000,233.0,286.0,282.0,335.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:29:29.741000,2025-11-30 16:34:15.416,1,12.0,False,,False,True,87.537,32.071,30.177,25.289,Qatar Grand Prix
0 days 01:32:24.721000,TSU,22,0 days 00:01:27.443000,21.0,2.0,,,0 days 00:00:32.178000,0 days 00:00:29.944000,0 days 00:00:25.321000,0 days 01:31:29.456000,0 days 01:31:59.400000,0 days 01:32:24.721000,,286.0,281.0,333.0,True,MEDIUM,14.0,True,Red Bull Racing,0 days 01:30:57.278000,2025-11-30 16:35:42.953,1,12.0,False,,False,True,87.443,32.178,29.944,25.321,Qatar Grand Prix
0 days 01:33:52.148000,TSU,22,0 days 00:01:27.427000,22.0,2.0,,,0 days 00:00:32.216000,0 days 00:00:29.966000,0 days 00:00:25.245000,0 days 01:32:56.937000,0 days 01:33:26.903000,0 days 01:33:52.148000,,287.0,280.0,317.0,True,MEDIUM,15.0,True,Red Bull Racing,0 days 01:32:24.721000,2025-11-30 16:37:10.396,1,12.0,False,,False,True,87.427,32.216,29.966,25.245,Qatar Grand Prix
0 days 01:35:19.550000,TSU,22,0 days 00:01:27.402000,23.0,2.0,,,0 days 00:00:32.233000,0 days 00:00:29.993000,0 days 00:00:25.176000,0 days 01:34:24.381000,0 days 01:34:54.374000,0 days 01:35:19.550000,236.0,286.0,282.0,315.0,True,MEDIUM,16.0,True,Red Bull Racing,0 days 01:33:52.148000,2025-11-30 16:38:37.823,1,12.0,False,,False,True,87.402,32.233,29.993,25.176,Qatar Grand Prix
0 days 01:36:47.093000,TSU,22,0 days 00:01:27.543000,24.0,2.0,,,0 days 00:00:32.268000,0 days 00:00:30.096000,0 days 00:00:25.179000,0 days 01:35:51.818000,0 days 01:36:21.914000,0 days 01:36:47.093000,234.0,285.0,280.0,332.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:35:19.550000,2025-11-30 16:40:05.225,1,12.0,False,,False,True,87.543,32.268,30.096,25.179,Qatar Grand Prix
0 days 01:38:14.759000,TSU,22,0 days 00:01:27.666000,25.0,2.0,,,0 days 00:00:32.466000,0 days 00:00:30.016000,0 days 00:00:25.184000,0 days 01:37:19.559000,0 days 01:37:49.575000,0 days 01:38:14.759000,233.0,285.0,280.0,314.0,False,MEDIUM,18.0,True,Red Bull Racing,0 days 01:36:47.093000,2025-11-30 16:41:32.768,1,12.0,False,,False,True,87.666,32.466,30.016,25.184,Qatar Grand Prix
