date,session_key,position,driver_number,meeting_key
2025-11-09T17:29:38.910000+00:00,9869,15,87,1273
2025-11-09T17:29:38.910000+00:00,9869,16,44,1273
2025-11-09T17:29:38.910000+00:00,9869,17,55,1273
2025-11-09T17:29:38.910000+00:00,9869,19,5,1273
2025-11-09T17:29:38.910000+00:00,9869,20,31,1273
2025-11-09T17:29:38.934000+00:00,9869,19,16,1273
2025-11-09T17:29:38.934000+00:00,9869,17,44,1273
2025-11-09T17:29:38.934000+00:00,9869,18,55,1273
2025-11-09T17:29:38.934000+00:00,9869,20,5,1273
2025-11-09T17:29:38.934000+00:00,9869,16,31,1273
2025-11-09T17:29:43.175000+00:00,9869,14,87,1273
2025-11-09T17:29:43.175000+00:00,9869,15,10,1273
2025-11-09T17:29:43.724000+00:00,9869,16,10,1273
2025-11-09T17:29:43.724000+00:00,9869,15,31,1273
2025-11-09T17:29:55.420000+00:00,9869,14,6,1273
2025-11-09T17:29:55.420000+00:00,9869,13,87,1273
2025-11-09T17:29:56.238000+00:00,9869,15,6,1273
2025-11-09T17:29:56.238000+00:00,9869,14,31,1273
2025-11-09T17:30:37.120000+00:00,9869,6,30,1273
2025-11-09T17:30:37.120000+00:00,9869,5,23,1273
2025-11-09T17:30:37.729000+00:00,9869,7,30,1273
2025-11-09T17:30:37.729000+00:00,9869,6,1,1273
2025-11-09T17:30:39.625000+00:00,9869,8,30,1273
2025-11-09T17:30:39.625000+00:00,9869,7,14,1273
2025-11-09T17:30:39.963000+00:00,9869,9,30,1273
2025-11-09T17:30:39.963000+00:00,9869,8,27,1273
2025-11-09T17:30:45.170000+00:00,9869,10,30,1273
2025-11-09T17:30:45.170000+00:00,9869,9,22,1273
2025-11-09T17:30:47.139000+00:00,9869,11,30,1273
2025-11-09T17:30:47.139000+00:00,9869,10,43,1273
2025-11-09T17:30:48.792000+00:00,9869,12,30,1273
2025-11-09T17:30:48.792000+00:00,9869,11,18,1273
2025-11-09T17:30:57.179000+00:00,9869,13,30,1273
2025-11-09T17:30:57.179000+00:00,9869,12,87,1273
2025-11-09T17:30:59.150000+00:00,9869,14,30,1273
2025-11-09T17:30:59.150000+00:00,9869,13,31,1273
2025-11-09T17:31:02.851000+00:00,9869,18,44,1273
2025-11-09T17:31:02.851000+00:00,9869,17,55,1273
2025-11-09T17:31:12.938000+00:00,9869,14,6,1273
2025-11-09T17:31:12.938000+00:00,9869,15,30,1273
2025-11-09T17:31:13.527000+00:00,9869,16,30,1273
2025-11-09T17:31:13.527000+00:00,9869,15,10,1273
2025-11-09T17:31:56.993000+00:00,9869,6,23,1273
2025-11-09T17:31:56.993000+00:00,9869,5,1,1273
2025-11-09T17:32:00.491000+00:00,9869,7,27,1273
2025-11-09T17:32:00.491000+00:00,9869,8,14,1273
2025-11-09T17:32:00.513000+00:00,9869,8,27,1273
2025-11-09T17:32:00.513000+00:00,9869,7,14,1273
2025-11-09T17:32:12.725000+00:00,9869,7,27,1273
2025-11-09T17:32:12.725000+00:00,9869,8,14,1273
2025-11-09T17:32:58.618000+00:00,9869,4,12,1273
2025-11-09T17:32:58.618000+00:00,9869,3,63,1273
2025-11-09T17:33:12.055000+00:00,9869,5,12,1273
2025-11-09T17:33:12.055000+00:00,9869,4,1,1273
2025-11-09T17:33:13.483000+00:00,9869,6,12,1273
2025-11-09T17:33:13.483000+00:00,9869,5,23,1273
2025-11-09T17:33:15.474000+00:00,9869,7,12,1273
2025-11-09T17:33:15.474000+00:00,9869,6,27,1273
2025-11-09T17:33:16.738000+00:00,9869,8,12,1273
2025-11-09T17:33:16.738000+00:00,9869,7,14,1273
2025-11-09T17:33:17.217000+00:00,9869,9,12,1273
2025-11-09T17:33:17.217000+00:00,9869,8,22,1273
2025-11-09T17:33:19.075000+00:00,9869,10,12,1273
2025-11-09T17:33:19.075000+00:00,9869,9,43,1273
2025-11-09T17:33:20.426000+00:00,9869,11,12,1273
2025-11-09T17:33:20.426000+00:00,9869,10,18,1273
2025-11-09T17:33:29.292000+00:00,9869,13,6,1273
2025-11-09T17:33:29.292000+00:00,9869,14,31,1273
2025-11-09T17:33:50.637000+00:00,9869,14,10,1273
2025-11-09T17:33:50.637000+00:00,9869,15,31,1273
2025-11-09T17:34:19.525000+00:00,9869,15,30,1273
2025-11-09T17:34:19.525000+00:00,9869,16,31,1273
2025-11-09T17:34:46.388000+00:00,9869,16,55,1273
2025-11-09T17:34:46.388000+00:00,9869,17,31,1273
2025-11-09T17:34:57.480000+00:00,9869,10,12,1273
2025-11-09T17:34:57.480000+00:00,9869,11,18,1273
2025-11-09T17:35:46.796000+00:00,9869,9,12,1273
2025-11-09T17:35:46.796000+00:00,9869,10,43,1273
2025-11-09T17:37:01.531000+00:00,9869,8,12,1273
2025-11-09T17:37:01.531000+00:00,9869,9,22,1273
2025-11-09T17:37:03.304000+00:00,9869,9,43,1273
2025-11-09T17:37:03.304000+00:00,9869,10,22,1273
2025-11-09T17:37:04.458000+00:00,9869,10,18,1273
2025-11-09T17:37:04.458000+00:00,9869,11,22,1273
2025-11-09T17:37:05.094000+00:00,9869,11,87,1273
2025-11-09T17:37:05.094000+00:00,9869,12,22,1273
2025-11-09T17:37:13.257000+00:00,9869,12,6,1273
2025-11-09T17:37:13.257000+00:00,9869,13,22,1273
2025-11-09T17:37:13.730000+00:00,9869,13,10,1273
2025-11-09T17:37:13.730000+00:00,9869,14,22,1273
2025-11-09T17:37:14.986000+00:00,9869,14,30,1273
2025-11-09T17:37:14.986000+00:00,9869,15,22,1273
2025-11-09T17:37:16.439000+00:00,9869,15,55,1273
2025-11-09T17:37:16.439000+00:00,9869,16,22,1273
2025-11-09T17:37:17.876000+00:00,9869,17,22,1273
2025-11-09T17:37:17.876000+00:00,9869,16,31,1273
2025-11-09T17:37:22.112000+00:00,9869,17,44,1273
2025-11-09T17:37:22.112000+00:00,9869,18,22,1273
2025-11-09T17:38:16.970000+00:00,9869,7,12,1273
2025-11-09T17:38:16.970000+00:00,9869,8,14,1273
2025-11-09T17:38:20.270000+00:00,9869,10,87,1273
2025-11-09T17:38:20.270000+00:00,9869,11,18,1273
2025-11-09T17:39:39.668000+00:00,9869,9,87,1273
2025-11-09T17:39:39.668000+00:00,9869,10,43,1273
2025-11-09T17:39:42.922000+00:00,9869,13,6,1273
2025-11-09T17:39:42.922000+00:00,9869,12,10,1273
2025-11-09T17:39:57.955000+00:00,9869,12,6,1273
2025-11-09T17:39:57.955000+00:00,9869,13,10,1273
2025-11-09T17:42:04.178000+00:00,9869,6,12,1273
2025-11-09T17:42:04.178000+00:00,9869,7,27,1273
2025-11-09T17:42:05.828000+00:00,9869,8,87,1273
2025-11-09T17:42:05.828000+00:00,9869,9,14,1273
2025-11-09T17:42:07.955000+00:00,9869,10,14,1273
2025-11-09T17:42:07.955000+00:00,9869,9,43,1273
2025-11-09T17:42:08.487000+00:00,9869,11,14,1273
2025-11-09T17:42:08.487000+00:00,9869,10,18,1273
2025-11-09T17:42:14.278000+00:00,9869,11,6,1273
2025-11-09T17:42:14.278000+00:00,9869,12,14,1273
2025-11-09T17:42:14.772000+00:00,9869,12,10,1273
2025-11-09T17:42:14.772000+00:00,9869,13,14,1273
2025-11-09T17:42:15.573000+00:00,9869,13,30,1273
2025-11-09T17:42:15.573000+00:00,9869,14,14,1273
2025-11-09T17:42:17.053000+00:00,9869,15,14,1273
2025-11-09T17:42:17.053000+00:00,9869,14,55,1273
2025-11-09T17:42:19.808000+00:00,9869,16,14,1273
2025-11-09T17:42:19.808000+00:00,9869,15,31,1273
2025-11-09T17:42:25.496000+00:00,9869,17,14,1273
2025-11-09T17:42:25.496000+00:00,9869,16,44,1273
2025-11-09T17:43:19.450000+00:00,9869,5,12,1273
2025-11-09T17:43:19.450000+00:00,9869,6,23,1273
2025-11-09T17:43:25.202000+00:00,9869,9,6,1273
2025-11-09T17:43:25.202000+00:00,9869,11,18,1273
2025-11-09T17:43:25.202000+00:00,9869,10,43,1273
2025-11-09T17:43:25.582000+00:00,9869,10,10,1273
2025-11-09T17:43:25.582000+00:00,9869,12,18,1273
2025-11-09T17:43:25.582000+00:00,9869,11,43,1273
2025-11-09T17:43:26.271000+00:00,9869,11,30,1273
2025-11-09T17:43:26.271000+00:00,9869,13,18,1273
2025-11-09T17:43:26.271000+00:00,9869,12,43,1273
2025-11-09T17:43:27.970000+00:00,9869,14,18,1273
2025-11-09T17:43:27.970000+00:00,9869,13,55,1273
2025-11-09T17:43:32.196000+00:00,9869,12,55,1273
2025-11-09T17:43:32.196000+00:00,9869,13,43,1273
2025-11-09T17:43:35.481000+00:00,9869,15,18,1273
2025-11-09T17:43:35.481000+00:00,9869,14,43,1273
2025-11-09T17:43:35.481000+00:00,9869,13,31,1273
2025-11-09T17:43:41.070000+00:00,9869,14,44,1273
2025-11-09T17:43:41.070000+00:00,9869,16,18,1273
2025-11-09T17:43:41.070000+00:00,9869,15,43,1273
2025-11-09T17:43:47.509000+00:00,9869,15,14,1273
2025-11-09T17:43:47.509000+00:00,9869,17,18,1273
2025-11-09T17:43:47.509000+00:00,9869,16,43,1273
2025-11-09T17:44:03.005000+00:00,9869,18,18,1273
2025-11-09T17:44:03.005000+00:00,9869,17,22,1273
2025-11-09T17:44:13.272000+00:00,9869,2,4,1273
2025-11-09T17:44:13.272000+00:00,9869,1,81,1273
2025-11-09T17:44:21.184000+00:00,9869,3,4,1273
2025-11-09T17:44:21.184000+00:00,9869,2,63,1273
2025-11-09T17:44:39.274000+00:00,9869,4,4,1273
2025-11-09T17:44:39.274000+00:00,9869,3,1,1273
2025-11-09T17:45:18.237000+00:00,9869,17,18,1273
2025-11-09T17:45:18.237000+00:00,9869,18,22,1273
2025-11-09T17:46:52.980000+00:00,9869,3,4,1273
2025-11-09T17:46:52.980000+00:00,9869,4,1,1273
2025-11-09T17:47:26.384000+00:00,9869,14,14,1273
2025-11-09T17:47:26.384000+00:00,9869,15,44,1273
2025-11-09T17:47:33.394000+00:00,9869,16,44,1273
2025-11-09T17:47:33.394000+00:00,9869,15,43,1273
2025-11-09T17:47:34.848000+00:00,9869,17,44,1273
2025-11-09T17:47:34.848000+00:00,9869,16,18,1273
2025-11-09T17:47:36.384000+00:00,9869,18,44,1273
2025-11-09T17:47:36.384000+00:00,9869,17,22,1273
2025-11-09T17:48:24.088000+00:00,9869,6,27,1273
2025-11-09T17:48:24.088000+00:00,9869,7,23,1273
2025-11-09T17:48:42.446000+00:00,9869,10,6,1273
2025-11-09T17:48:42.446000+00:00,9869,9,10,1273
2025-11-09T17:48:44.424000+00:00,9869,9,6,1273
