date,session_key,driver_number,position,meeting_key
2025-06-29T13:34:11.475000+00:00,9955,10,14,1264
2025-06-29T13:34:11.475000+00:00,9955,22,13,1264
2025-06-29T13:34:12.460000+00:00,9955,10,15,1264
2025-06-29T13:34:12.460000+00:00,9955,6,14,1264
2025-06-29T13:34:28.038000+00:00,9955,87,16,1264
2025-06-29T13:34:28.038000+00:00,9955,27,17,1264
2025-06-29T13:34:39.138000+00:00,9955,43,11,1264
2025-06-29T13:34:39.138000+00:00,9955,31,10,1264
2025-06-29T13:34:54.630000+00:00,9955,10,16,1264
2025-06-29T13:34:54.630000+00:00,9955,87,15,1264
2025-06-29T13:35:14.310000+00:00,9955,5,6,1264
2025-06-29T13:35:14.310000+00:00,9955,23,7,1264
2025-06-29T13:35:19.008000+00:00,9955,30,7,1264
2025-06-29T13:35:19.008000+00:00,9955,23,8,1264
2025-06-29T13:35:19.700000+00:00,9955,14,8,1264
2025-06-29T13:35:19.700000+00:00,9955,23,9,1264
2025-06-29T13:35:20.811000+00:00,9955,43,12,1264
2025-06-29T13:35:20.811000+00:00,9955,18,11,1264
2025-06-29T13:35:21.207000+00:00,9955,43,13,1264
2025-06-29T13:35:21.207000+00:00,9955,22,12,1264
2025-06-29T13:35:21.464000+00:00,9955,6,13,1264
2025-06-29T13:35:21.464000+00:00,9955,43,14,1264
2025-06-29T13:35:22.398000+00:00,9955,23,10,1264
2025-06-29T13:35:22.398000+00:00,9955,31,9,1264
2025-06-29T13:35:24.234000+00:00,9955,23,11,1264
2025-06-29T13:35:24.234000+00:00,9955,18,10,1264
2025-06-29T13:35:24.532000+00:00,9955,23,12,1264
2025-06-29T13:35:24.532000+00:00,9955,22,11,1264
2025-06-29T13:35:24.835000+00:00,9955,23,13,1264
2025-06-29T13:35:24.835000+00:00,9955,6,12,1264
2025-06-29T13:35:38.961000+00:00,9955,43,15,1264
2025-06-29T13:35:38.961000+00:00,9955,87,14,1264
2025-06-29T13:35:39.498000+00:00,9955,10,15,1264
2025-06-29T13:35:39.498000+00:00,9955,43,16,1264
2025-06-29T13:35:48.496000+00:00,9955,43,17,1264
2025-06-29T13:35:48.496000+00:00,9955,27,16,1264
2025-06-29T13:36:58.736000+00:00,9955,18,11,1264
2025-06-29T13:36:58.736000+00:00,9955,22,10,1264
2025-06-29T13:37:25.781000+00:00,9955,10,14,1264
2025-06-29T13:37:25.781000+00:00,9955,87,15,1264
2025-06-29T13:37:57.392000+00:00,9955,10,13,1264
2025-06-29T13:37:57.392000+00:00,9955,23,14,1264
2025-06-29T13:37:58.427000+00:00,9955,23,15,1264
2025-06-29T13:37:58.427000+00:00,9955,87,14,1264
2025-06-29T13:38:01.408000+00:00,9955,23,16,1264
2025-06-29T13:38:01.408000+00:00,9955,27,15,1264
2025-06-29T13:38:07.101000+00:00,9955,23,17,1264
2025-06-29T13:38:07.101000+00:00,9955,43,16,1264
2025-06-29T13:41:11.863000+00:00,9955,63,6,1264
2025-06-29T13:41:11.863000+00:00,9955,5,5,1264
2025-06-29T13:41:16.966000+00:00,9955,63,7,1264
2025-06-29T13:41:16.966000+00:00,9955,30,6,1264
2025-06-29T13:41:17.724000+00:00,9955,63,8,1264
2025-06-29T13:41:17.724000+00:00,9955,14,7,1264
2025-06-29T13:41:21.750000+00:00,9955,63,9,1264
2025-06-29T13:41:21.750000+00:00,9955,31,8,1264
2025-06-29T13:41:22.177000+00:00,9955,18,10,1264
2025-06-29T13:41:22.177000+00:00,9955,22,11,1264
2025-06-29T13:41:22.586000+00:00,9955,6,11,1264
2025-06-29T13:41:22.586000+00:00,9955,22,12,1264
2025-06-29T13:41:25.509000+00:00,9955,63,10,1264
2025-06-29T13:41:25.509000+00:00,9955,18,9,1264
2025-06-29T13:41:25.956000+00:00,9955,63,11,1264
2025-06-29T13:41:25.956000+00:00,9955,6,10,1264
2025-06-29T13:41:34.252000+00:00,9955,10,12,1264
2025-06-29T13:41:34.252000+00:00,9955,22,13,1264
2025-06-29T13:41:36.058000+00:00,9955,87,13,1264
2025-06-29T13:41:36.058000+00:00,9955,22,14,1264
2025-06-29T13:41:37.456000+00:00,9955,22,15,1264
2025-06-29T13:41:37.456000+00:00,9955,27,14,1264
2025-06-29T13:41:39.423000+00:00,9955,43,15,1264
2025-06-29T13:41:39.423000+00:00,9955,22,16,1264
2025-06-29T13:41:47.662000+00:00,9955,6,9,1264
2025-06-29T13:41:47.662000+00:00,9955,18,10,1264
2025-06-29T13:41:52.399000+00:00,9955,6,10,1264
2025-06-29T13:41:52.399000+00:00,9955,18,9,1264
2025-06-29T13:41:54.585000+00:00,9955,6,9,1264
2025-06-29T13:41:54.585000+00:00,9955,18,10,1264
2025-06-29T13:42:02.400000+00:00,9955,6,10,1264
2025-06-29T13:42:02.400000+00:00,9955,18,9,1264
2025-06-29T13:42:38.009000+00:00,9955,18,8,1264
2025-06-29T13:42:38.009000+00:00,9955,31,9,1264
2025-06-29T13:42:38.437000+00:00,9955,6,9,1264
2025-06-29T13:42:38.437000+00:00,9955,31,10,1264
2025-06-29T13:42:43.885000+00:00,9955,63,10,1264
2025-06-29T13:42:43.885000+00:00,9955,31,11,1264
2025-06-29T13:42:45.556000+00:00,9955,10,11,1264
2025-06-29T13:42:45.556000+00:00,9955,31,12,1264
2025-06-29T13:42:47.498000+00:00,9955,87,12,1264
2025-06-29T13:42:47.498000+00:00,9955,31,13,1264
2025-06-29T13:42:48.058000+00:00,9955,31,14,1264
2025-06-29T13:42:48.058000+00:00,9955,27,13,1264
2025-06-29T13:42:50.426000+00:00,9955,43,14,1264
2025-06-29T13:42:50.426000+00:00,9955,31,15,1264
2025-06-29T13:43:01.287000+00:00,9955,31,16,1264
2025-06-29T13:43:01.287000+00:00,9955,22,15,1264
2025-06-29T13:43:14.363000+00:00,9955,4,2,1264
2025-06-29T13:43:14.363000+00:00,9955,81,1,1264
2025-06-29T13:43:22.126000+00:00,9955,31,15,1264
2025-06-29T13:43:22.126000+00:00,9955,22,16,1264
2025-06-29T13:43:23.827000+00:00,9955,4,3,1264
2025-06-29T13:43:23.827000+00:00,9955,16,2,1264
2025-06-29T13:43:26.631000+00:00,9955,4,4,1264
2025-06-29T13:43:26.631000+00:00,9955,44,3,1264
2025-06-29T13:44:14.822000+00:00,9955,87,13,1264
2025-06-29T13:44:14.822000+00:00,9955,27,12,1264
2025-06-29T13:44:20.887000+00:00,9955,87,12,1264
2025-06-29T13:44:20.887000+00:00,9955,27,13,1264
2025-06-29T13:44:48.673000+00:00,9955,30,5,1264
2025-06-29T13:44:48.673000+00:00,9955,5,6,1264
2025-06-29T13:44:49.536000+00:00,9955,5,7,1264
2025-06-29T13:44:49.536000+00:00,9955,14,6,1264
2025-06-29T13:45:02.864000+00:00,9955,5,8,1264
2025-06-29T13:45:02.864000+00:00,9955,18,7,1264
2025-06-29T13:45:03.363000+00:00,9955,5,9,1264
2025-06-29T13:45:03.363000+00:00,9955,6,8,1264
2025-06-29T13:45:06.287000+00:00,9955,63,9,1264
2025-06-29T13:45:06.287000+00:00,9955,5,10,1264
2025-06-29T13:45:08.086000+00:00,9955,5,11,1264
2025-06-29T13:45:08.086000+00:00,9955,10,10,1264
2025-06-29T13:45:16.110000+00:00,9955,5,12,1264
2025-06-29T13:45:16.110000+00:00,9955,87,13,1264
2025-06-29T13:45:16.110000+00:00,9955,27,11,1264
2025-06-29T13:45:19.454000+00:00,9955,5,13,1264
2025-06-29T13:45:19.454000+00:00,9955,87,12,1264
2025-06-29T13:46:58.264000+00:00,9955,5,12,1264
2025-06-29T13:46:58.264000+00:00,9955,87,13,1264
2025-06-29T13:48:08.734000+00:00,9955,16,1,1264
2025-06-29T13:48:08.734000+00:00,9955,81,2,1264
2025-06-29T13:48:11.984000+00:00,9955,81,3,1264
2025-06-29T13:48:11.984000+00:00,9955,44,2,1264
2025-06-29T13:48:17.770000+00:00,9955,4,3,1264
2025-06-29T13:48:17.770000+00:00,9955,81,4,1264
2025-06-29T13:49:16.002000+00:00,9955,6,7,1264
2025-06-29T13:49:16.002000+00:00,9955,18,8,1264
2025-06-29T13:49:16.327000+00:00,9955,63,8,1264
2025-06-29T13:49:16.327000+00:00,9955,18,9,1264
2025-06-29T13:49:20.156000+00:00,9955,16,2,1264
2025-06-29T13:49:20.156000+00:00,9955,44,1,1264
2025-06-29T13:49:27.453000+00:00,9955,4,2,1264
2025-06-29T13:49:27.453000+00:00,9955,16,3,1264
2025-06-29T13:49:33.672000+00:00,9955,16,4,1264
2025-06-29T13:49:33.672000+00:00,9955,81,3,1264
2025-06-29T13:49:44.187000+00:00,9955,16,5,1264
2025-06-29T13:49:44.187000+00:00,9955,30,4,1264
2025-06-29T13:49:44.890000+00:00,9955,16,6,1264
2025-06-29T13:49:44.890000+00:00,9955,14,5,1264
2025-06-29T13:50:13.177000+00:00,9955,63,7,1264
2025-06-29T13:50:13.177000+00:00,9955,6,8,1264
2025-06-29T13:50:15.318000+00:00,9955,10,9,1264
2025-06-29T13:50:15.318000+00:00,9955,18,10,1264
2025-06-29T13:50:30.036000+00:00,9955,18,11,1264
2025-06-29T13:50:30.036000+00:00,9955,27,10,1264
2025-06-29T13:50:33.552000+00:00,9955,4,1,1264
2025-06-29T13:50:33.552000+00:00,9955,44,2,1264
2025-06-29T13:50:34.849000+00:00,9955,5,11,1264
2025-06-29T13:50:34.849000+00:00,9955,18,12,1264
2025-06-29T13:50:43.569000+00:00,9955,81,2,1264
2025-06-29T13:50:43.569000+00:00,9955,44,3,1264
2025-06-29T13:50:49.810000+00:00,9955,44,4,1264
2025-06-29T13:50:49.810000+00:00,9955,30,3,1264
2025-06-29T13:50:50.653000+00:00,9955,44,5,1264
2025-06-29T13:50:50.653000+00:00,9955,14,4,1264
2025-06-29T13:50:50.966000+00:00,9955,16,5,1264
2025-06-29T13:50:50.966000+00:00,9955,44,6,1264
2025-06-29T13:51:05.169000+00:00,9955,87,12,1264
2025-06-29T13:51:05.169000+00:00,9955,18,13,1264
2025-06-29T13:51:06.200000+00:00,9955,43,13,1264
2025-06-29T13:51:06.200000+00:00,9955,18,14,1264
2025-06-29T13:51:06.607000+00:00,9955,18,15,1264
2025-06-29T13:51:06.607000+00:00,9955,31,14,1264
2025-06-29T13:51:11.872000+00:00,9955,18,16,1264
2025-06-29T13:51:11.872000+00:00,9955,22,15,1264
2025-06-29T13:51:12.622000+00:00,9955,16,4,1264
2025-06-29T13:51:12.622000+00:00,9955,14,5,1264
2025-06-29T13:51:25.857000+00:00,9955,43,14,1264
2025-06-29T13:51:25.857000+00:00,9955,31,13,1264
2025-06-29T13:51:31.622000+00:00,9955,43,13,1264
2025-06-29T13:51:31.622000+00:00,9955,31,14,1264
2025-06-29T13:51:33.763000+00:00,9955,10,10,1264
2025-06-29T13:51:33.763000+00:00,9955,27,9,1264
2025-06-29T13:51:45.968000+00:00,9955,5,10,1264
2025-06-29T13:51:45.968000+00:00,9955,10,11,1264
2025-06-29T13:52:17.966000+00:00,9955,16,3,1264
