date,session_key,meeting_key,position,driver_number
2025-09-21T11:14:43.946000+00:00,9904,1269,5,12
2025-09-21T11:14:43.946000+00:00,9904,1269,4,63
2025-09-21T11:14:45.063000+00:00,9904,1269,9,4
2025-09-21T11:14:45.063000+00:00,9904,1269,8,16
2025-09-21T11:14:46.539000+00:00,9904,1269,14,18
2025-09-21T11:14:46.539000+00:00,9904,1269,13,43
2025-09-21T11:14:46.812000+00:00,9904,1269,16,87
2025-09-21T11:14:46.812000+00:00,9904,1269,15,10
2025-09-21T11:14:49.929000+00:00,9904,1269,4,12
2025-09-21T11:14:49.929000+00:00,9904,1269,5,63
2025-09-21T11:14:50.382000+00:00,9904,1269,6,63
2025-09-21T11:14:50.382000+00:00,9904,1269,5,22
2025-09-21T11:14:58.692000+00:00,9904,1269,15,87
2025-09-21T11:14:58.692000+00:00,9904,1269,16,10
2025-09-21T11:15:07.472000+00:00,9904,1269,8,4
2025-09-21T11:15:07.472000+00:00,9904,1269,9,16
2025-09-21T11:15:07.486000+00:00,9904,1269,9,4
2025-09-21T11:15:07.486000+00:00,9904,1269,8,16
2025-09-21T11:15:09.739000+00:00,9904,1269,16,87
2025-09-21T11:15:09.739000+00:00,9904,1269,15,10
2025-09-21T11:15:09.764000+00:00,9904,1269,17,87
2025-09-21T11:15:09.764000+00:00,9904,1269,16,27
2025-09-21T11:15:15.105000+00:00,9904,1269,15,27
2025-09-21T11:15:15.105000+00:00,9904,1269,16,10
2025-09-21T11:16:14.800000+00:00,9904,1269,8,6
2025-09-21T11:16:14.800000+00:00,9904,1269,7,16
2025-09-21T11:16:32.063000+00:00,9904,1269,8,4
2025-09-21T11:16:32.063000+00:00,9904,1269,9,6
2025-09-21T11:16:57.967000+00:00,9904,1269,10,6
2025-09-21T11:16:57.967000+00:00,9904,1269,9,44
2025-09-21T11:17:11.345000+00:00,9904,1269,9,6
2025-09-21T11:17:11.345000+00:00,9904,1269,10,44
2025-09-21T11:20:11.661000+00:00,9904,1269,12,14
2025-09-21T11:20:11.661000+00:00,9904,1269,11,5
2025-09-21T11:20:18.308000+00:00,9904,1269,10,6
2025-09-21T11:20:18.308000+00:00,9904,1269,9,44
2025-09-21T11:24:03.688000+00:00,9904,1269,5,63
2025-09-21T11:24:03.688000+00:00,9904,1269,6,22
2025-09-21T11:29:18.830000+00:00,9904,1269,16,87
2025-09-21T11:29:18.830000+00:00,9904,1269,17,10
2025-09-21T11:32:52.179000+00:00,9904,1269,13,18
2025-09-21T11:32:52.179000+00:00,9904,1269,14,43
2025-09-21T11:32:55.444000+00:00,9904,1269,18,10
2025-09-21T11:32:55.444000+00:00,9904,1269,17,23
2025-09-21T11:32:57.984000+00:00,9904,1269,14,18
2025-09-21T11:32:57.984000+00:00,9904,1269,13,43
2025-09-21T11:34:40.134000+00:00,9904,1269,17,10
2025-09-21T11:34:40.134000+00:00,9904,1269,18,23
2025-09-21T11:34:40.345000+00:00,9904,1269,19,23
2025-09-21T11:34:40.345000+00:00,9904,1269,18,31
2025-09-21T11:34:55.024000+00:00,9904,1269,18,10
2025-09-21T11:34:55.024000+00:00,9904,1269,17,31
2025-09-21T11:36:24.827000+00:00,9904,1269,13,18
2025-09-21T11:36:24.827000+00:00,9904,1269,14,43
2025-09-21T11:36:25.509000+00:00,9904,1269,15,43
2025-09-21T11:36:25.509000+00:00,9904,1269,14,27
2025-09-21T11:36:26.143000+00:00,9904,1269,15,87
2025-09-21T11:36:26.143000+00:00,9904,1269,16,43
2025-09-21T11:36:32.519000+00:00,9904,1269,17,43
2025-09-21T11:36:32.519000+00:00,9904,1269,16,31
2025-09-21T11:36:33.756000+00:00,9904,1269,18,43
